"meet_location","meet_wday","meet_mday","meet_year","racecount","race_number","horse_number","horse_name","horse_sire","horse_trainer","horse_jockey","horse_odds","horse_odds_decimal","horse_place","purse","time_frac1","time_frac2","time_frac3","time_frac4","time_frac5","time_final","track_length","track_type","race_class","dist_frac1","dist_frac2","dist_frac3","dist_frac4","dist_frac5"
"Woodbine","Sunday","August 21","2022",5,5,"5","Selfmade","Tiznow","Zeljko Krcmar","Emma-Jayne Wilson","12/1",12,5,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"6","Lapochka","English Channel","Vito Armata","Leo Salles","8/1",8,3,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"7","Bourbon Extension","Not Bourbon","Patrick Dixon","Steven Ronald Bahen","20/1",20,5,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"8","Mambointheforest","Old Forester","Ronald H. Sadler","Keveh Nicholls","20/1",20,5,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"9","Courtly Manner","Court Vision","Tino Attard","Luis Contreras","12/1",12,4,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"10","Derzkii","Frac Daddy","Martin Drexler","Eswan Flores","12/1",12,1,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"11","Finalist","Tonalist","Michael Mattine","Slade Jones","4/1",4,5,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"12","Hyperfocus","Constitution","Ralph J. Biamonte","Patrick Husbands","3/1",3,NA,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",6,6,"1","Sooner Lunar","Silent Name (JPN)","Michael J. Doyle","David Moran","6/1",6,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"2","Fighting Irish","Midshipman","Darwin D. Banach","Emma-Jayne Wilson","12/1",12,3,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"3","Hungry Wolf","City Wolf","Carlton Teape","Daisuke Fukumoto","20/1",20,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"4","Kaukokaipuu","Mr Speaker","Tedston Holder","Jason Hoyte","12/1",12,2,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"5","Venti","More Than Ready","Mark E. Casse","Patrick Husbands","4/1",4,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"6","Sing Dixie","Mendelssohn","Breeda Hayes","Gary Boulanger","10/1",10,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"7","Arnie P","Lemon Drop Kid","David Cotey","Skye Chernetz","20/1",20,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"8","Glenholme","Mo Town","Michael K. McDonald","Steven Ronald Bahen","20/1",20,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"9","Baba Voss","Empire Maker","Kevin Attard","Rafael Manuel Hernandez","8/1",8,4,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"10","Chamber Music","Mendelssohn","Mark E. Casse","Kazushi Kimura","8/1",8,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"11","British Artillery","English Channel","Barbara J. Minshall","Omar Moreno","12/1",12,1,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"12","Curlin's Ghost","Curlin","Josie Carroll","Luis Contreras","3/1",3,5,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",6,6,"13","Magic Tomahawk","Good Magic","Sylvain Pion","Rafael Manuel Hernandez","12/1",12,NA,126800,23.55,47.12,70.69,NA,NA,83.5,"7F","Turf","Maiden Special Weight","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",7,7,"1","Frosted Icing","Frosted","Amanda J. Cameron","Jason Hoyte","15/1",15,5,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"2","Twisted Path","Milwaukee Brew","Saul McHugh","James Chau","20/1",20,5,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"3","Juan Pablo","Street Sense","John A. Coryat","Eswan Flores","15/1",15,5,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"4","Canadian Pharoah","American Pharoah","Nicholas Nosowenko","Sahin Civaci","6/1",6,4,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"5","Lion Kingdom","Animal Kingdom","Richard L. Morden","Justin Stein","10/1",10,2,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"6","Theregoesjojo","English Channel","Michael P. De Paulo","Kazushi Kimura","5/2",2.5,1,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"7","Lil Bit Gangsta","Reload","Krista Cole-Simpson","Leo Salles","8/1",8,3,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"8","Sunrise Drive","Danza","Zeljko Krcmar","Emma-Jayne Wilson","10/1",10,5,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"9","Burning Man","Street Sense","Kevin Attard","Antonio A. Gallardo","2/1",2,5,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",7,7,"10","Tycoon","Into Mischief","Alison Jennings","Juan Crawford","20/1",20,5,55000,25.85,51.54,78.95,105.11,129.63,141.68,"1 3/8M","Inner turf","$40,000 Starter Optional Claiming","","","","",""
"Woodbine","Sunday","August 21","2022",8,8,"1","Harlan Estate","Kantharos","Kevin Attard","Antonio A. Gallardo","10/1",10,2,200000,23.49,46.47,70.12,82.03,NA,94.69,"1M","Turf","King Edward S.","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",8,8,"2","Filo Di Arianna (BRZ)","Drosselmeyer","Mark E. Casse","Kazushi Kimura","2/1",2,NA,200000,23.49,46.47,70.12,82.03,NA,94.69,"1M","Turf","King Edward S.","1/4","1/2","3/4","7/8",""
